0Invert X|反转X轴
Stronger climbing grip|更强的攀爬能力
Path of the vegetarian|把素持斋之道
The Scholar-linebreaks|学者
The Journey-linebreaks|旅途
switch_tutorial_crouch|短暂按“下方向键”以蹲伏前进
Tap to pick up objects|轻触以拾取物体
Test your new controls|测试你的新控制方式
switch_controls_pickup|Y键
switch_region_map_help|按R键查看区域地图
Sandbox item unlocked:|已解锁沙盒物品：
ps4_save_options_title|雨世界选项
mod_menu_load_order_up|合并模组更改时，请在其他模组之后应用此模组。这可能有助于解决某些模组冲突。
OpSlider_MouseTutoHrzt|按住鼠标按键并向左或向右拖拽以调整数值
OpSlider_MouseTutoVrtc|按住鼠标按键并向上或向下拖拽以调整数值
OpTextBox_NonMouseTuto|无法使用控制器修改此元素
OpHoldButton_MouseTuto|按住鼠标按键以触发
ModdingMenu_ControlMap|查看控制
MenuModStat_ModsRegion|已启用区域模组：<Number>
MenuModList_SwapFailed|无法在依赖模组之前加载一个所需模组
OIError_Message_Update|运行选项界面时出现问题。
New dynamic difficulty|新动态难度
Legacy tongue controls|传统舌头控制
Upwards spear throwing|额外投掷弹道
Quieter gates/shelters|更安静的业力门/庇护所
Faster shelter opening|庇护所快速开启
Pull spears from walls|墙矛回收
Unlock all collections|解锁全部藏品
expedition-description|在这个具有挑战性的新游戏模式中开始探险吧。你可以在完成随机挑战的同时避免永久死亡，并努力解锁新的额外有用奖励、惩罚性的负担和可以在音乐盒中播放的音乐曲目。
Please leave me alone.|拜托让我一个人呆着。
That... Oh, thank you.|那个……哦，谢谢你。
...don't... come back.|……别……回来。
Oh... You are leaving.|哦……你要走了。
Good bye, I suppose...|那个……再见……
You have found another way out|另辟蹊径之行
Complete the Chieftain passage|完成酋长通行证
Complete the game as The Saint|以圣徒身份完成游戏
This land has become your home|此地已成家园
switch_pause_help_switch_hands|按下两次以换手
Playing levels in random order|按随机顺序游玩关卡
OpKeyBinder_NonMouseSelectTuto|按“跳跃”变更按键绑定
ConfigMenuTab_ApplyButton_Desc|应用当前已选模组
ConfigMenuTab_BackButton_Label|退出
ConfigMenuTab_SaveButton_Label|应用
ConfigMenuTab_ResetButton_Desc|重置当前模组配置
No Hunter batfly auto-grabbing|禁用猎手自动抓取蝠蝇
Disable all karma requirements|禁用所有业力要求
Saint environmental protection|圣徒环境保护
mod_workshop_upload_buttondesc|将所选模组上传到Steam创意工坊
It's you, <PlayerName>. Hello.|是你，<PlayerName>。你好。
NO! ... no. Let it go, please.|不！……不。放开它，求你了。
You... brought that... for me?|那个……是……给我的？
And now you're taking it back.|你要拿回去了，是吧。
Please. Be still for a moment.|拜托了。安静一会吧。
<CapPlayerName>... Never mind.|<CapPlayerName>……算了。
You return from scouting a new land|异域探索归来
Four Needles under Plentiful Leaves|四针之下，枝繁叶茂
However, the game will not be saved|然而游戏不会被保存
PS4 Dualshock<LINE>Controller Setup|DUALSHOCK®4<LINE>控制器设定
Hold Pause Button or Escape to exit|按住暂停键或ESC键退出
switch_controls_singlejoyconl_pause|-键
switch_controls_singlejoyconl_throw|右方向键
switch_controls_singlejoyconr_pause|+键
switch_controls_singlejoyconr_throw|X键
Press to add Player <X> to the game|按下将玩家<X>加入至游戏
ps4_save_progress_failed_free_space|保存进度数据时发生错误。空间不足。要再次尝试吗？
USE UP + DOWN TO ADJUST SCREEN SIZE|使用“上+下”调整屏幕大小
ConfigMenuTab_RevertHoldButton_Desc|放弃当前对模组配置的更改并返回
MenuModList_ModButton_NameAndAuthor|<ModName> 作者：<ModAuthor>
MenuModList_ModButton_Disable_Mouse|禁用<Mod>
Could not find the files to upload.|无法找到要上传的文件。
Get... get away... white.... thing.|离我……远点……白色的……东西。
Thank you, again. I feel wonderful.|再次谢谢你。我感觉很棒。
You want me to take a look at that?|你想让我看看那个？
Ah, you would like me to read this?|啊，你想让我读这个吗？
This... time... don't... come back.|这……次……别……回来。
The consequences of your journey have caught up with you|业报插翅难逃
You encountered the echo of A Bell, Eighteen Amber Beads|你遇到了“一颗铃铛，十八琥珀”的残余回响
You encountered the echo of Two Sprouts, Twelve Brackets|你遇到了“两株新芽，十二支架”的残余回响
Press and hold, then use up/down to adjust score awarded|按住并拖动，然后使用上/下以调整得分奖励
You must update the application to use network features.|更新应用程序后才可以使用联网功能。
The presets below can be used to quickly reset settings.|以下选项可用于将所有设置快速重置为预设值。
RELAXED preset is a significant reduction in difficulty.|休闲预设会使难度显著降低。
This option may actually make Rivulet's campaign harder.|此选项实际上可能会使溪流的剧情流程更加困难。
The scavengers must be jealous of you, finding all these|你能找到这么多，拾荒者一定嫉妒死你了。
Fates have been flipped|命运已然颠覆
creaturetype-PinkLizard|粉蜥蜴
creaturetype-BlueLizard|蓝蜥蜴
creaturetype-Salamander|蝾螈
creaturetype-CyanLizard|青蜥蜴
Embraced by a new tribe|他乡宾至如归
The Survivor-linebreaks|求生者
The Wanderer-linebreaks|漫游者
Gamepad <X> (Not found)|游戏手柄<X><LINE>未检测到）
No rain timer exception|无降雨计时器例外
Sandbox items unlocked:|已解锁沙盒物品：
ps4_save_progress_title|雨世界进度{0}
ps4_save_options_failed|保存选项数据时发生错误。
ps4_load_options_failed|选项保存数据已损坏，将被删除。
Failed to get rankings.|获取排名失败。
Switch to windowed mode|切换至窗口模式
OpCheckBox_NonMouseTuto|按确认键切换
OpComboBox_MouseUseTuto|双击搜索框
OpRadioButton_MouseTuto|点击以选择该选项
OpTextBox_MouseTutoGrab|点击开始输入
OpTextBox_MouseTutoType|使用键盘输入，按“回车”应用
ModdingMenu_ControlJump|选择/确认
ModdingMenu_ControlMove|移动/调整
ModdingMenu_ControlPckp|剪贴板
MenuModList_AskModApply|配置模组前先按下“应用模组”
Jetfish item protection|喷射鱼物品保护
Currently Active Preset|当前激活预设
mod_workshop_upload_ask|你要将此模组上传到Steam创意工坊吗？
Hello there! You again!|你好啊！你又来了！
Hello there. You again!|你好啊。又是你！
No, please, release it!|不，求你了，放开它！
That... That is for me?|那……是给我的？
...oh... to... save me?|……哦……是为了……救我？
Thank you so very much!|非常感谢！
Thank you... Sincerely.|谢谢……真的很感谢你。
Let's see... A pearl...|让我看看……一颗珍珠……
Why are you doing this?|你为什么要这么做？
Please don't come back.|请别回来了。
You have delivered your most important message|身负重任告毕
You completed every challenge laid before you.|突破所有挑战
Clear every milestone quest in Expedition Mode|完成探索模式的所有里程碑
You are not the only lost soul in this world..|独行奇遇知音
Additional food (above four) is kept for later|额外食物（超过四个）可供今后使用
Grab your prey and hold the eat button to feed|抓住猎物并按住进食键以进食
MenuModList_ModButton_Disable_NonMouse_Console|按确认键禁用该内容，按右方向键返回到列表
MenuModList_ModButton_NonMouse_Display_Console|按确认键以显示，按左方向键以切换到该内容的开关
ConfigTabController_TabSelectButton_UnnamedTab|切换至标签#<TabIndex>
Not that it solves anyone's problem but yours.|这只能解决你自己的问题，救不了其他生灵。
As I mentioned you do not have unlimited time.|我提醒过你，你的时间有限。
Another? You're no better than the scavengers!|还有？你和拾荒者真是半斤八两！
I won't talk to you if you continue like this.|你再这样下去我就不和你说话了。
Everything comes full circle|万事周而复始
Great strides have been made|踏出伟大一步
Complete the Scholar passage|完成学者通行证
Complete the Pilgrim passage|完成朝圣者通行证
creaturetype-BrotherLongLegs|劣化长肢腐瘤
creaturetype-SmallNeedleWorm|小面条蝇
Press any button to continue|按任意键继续
A Bell, Eighteen Amber Beads|一颗铃铛，十八琥珀
Two Sprouts, Twelve Brackets|两株新芽，十二支架
The Dragon Slayer-linebreaks|屠龙者
Three is enough to hibernate|三个就足够雨眠了
Rain is coming! Find shelter|要下雨了！快找庇护所
Score required to exit level|离开关卡所需得分
Always allow players to exit|永远允许玩家离开
ps4_save_options_description|雨世界选项保存数据
Reloading player progression|正在重新加载玩家进度
OpKeyBinder_NonMouseBindTuto|按下按键后绑定（PAUSE取消绑定）
MenuModStat_ModTargetVersion|目标游戏版本：<TargetVersion>（当前游戏版本：<GameVersion>）
Artificer Explosion Capacity|工匠爆炸次数
Unlock all sandbox creatures|解锁全部沙盒生物
Perhaps... I saw you before?|也许……我以前见过你？
Oh... Should I look at that?|哦……我能看看那个吗？
A gift for me, <PlayerName>?|一份给我的礼物，<PlayerName>？
Oh... Never mind, I suppose.|哦……那就算了吧。
I will...not speak to you...|我不会……和你说话了……
You completed every expedition laid before you.|经历所有冒险
Something lurks in a flourishing outcropping...|有什么隐匿在繁荣的田野里……
Additional food (above three) is kept for later|额外食物（超过三个）可供今后使用
Hold down to wipe your save slot and start over|按住以清除存档位并重新开始
You are starving. Your game has not been saved.|你在挨饿。你的游戏未被保存。
Are you sure you want to disable this mechanic?|你确定要禁用此机制吗？
You must accept the End User License Agreement.|你必须接受《最终用户许可协议》。
You're leaving yet again. This time, stay away.|你又要走了。这次，离我远点。
Listened to the conflation of echoes|聆听汇聚回响
Nineteen Spades, Endless Reflections|十九铁铲，无尽倒影
Game Over - Press OPTIONS to restart|游戏结束 - 按“选项键”重新开始
switch_controls_singlejoyconl_pickup|左方向键
switch_controls_singlejoyconr_pickup|B键
Creatures are vicious and aggressive|生物凶残好斗
switch_single_joycon_region_map_help|按SR键查看区域地图
JUMP/THROW buttons - Switch layers_2|交叉键/圆圈键 - 切换层级
JUMP/THROW buttons - Switch layers_3|B键/A键 - 切换层级
JUMP/THROW buttons - Switch layers_4|下方向键/右方向键键 - 切换层级
JUMP/THROW buttons - Switch layers_5|A键/X键 - 切换层级
Title is offline or is disconnected.|游戏离线或已断开连接。
OpKeyBinder_NonMouseJoystickBindTuto|按下按键后绑定（PAUSE取消绑定，START设置控制器数字）
ConfigContainer_AlertCopyNoncosmetic|已从<ObjectName>将<Text>复制到剪贴板
ConfigMenuTab_RevertHoldButton_Label|还原
MenuModList_ModButton_RainWorldDummy|代表早于模组加载的基础雨世界
Are you sure you want to view these?|你确定要查看这些内容吗？
Yes, you're welcome to have it back.|是的，我当然会还给你。
Oh, leaving. Please don't come back.|哦，走吧，拜托别再来了。
Followed your parental instincts|顺从内心天性
Player <X> will use the keyboard|玩家<X>将使用键盘
switch_controls_singlejoycon_map|SR键
Playing levels in selected order|按已选顺序游玩关卡
OpKeyBinder_ErrorConflictVanilla|与默认控制选项的按键发生冲突
OpKeyBinder_ErrorConflictCurrMod|[<ConflictButton>]键已被占用
OpColorPicker_NonMouseModeSelect|按确认键选择这个模式
ConfigMenuTab_RevertButton_Label|返回
Scavenger corpses have max karma|拾荒者尸体业力最大化
Unlock Developer Commentary mode|解锁开发者评论模式
Please... thiss all I have left.|求你了……我剩下的只有这个了。
Ah... <PlayerName>, you're back!|啊……<PlayerName>，你回来了！
Ah... <PlayerName>, you're back.|啊……<PlayerName>，你回来了。
NO! I will...not speak to you...|不！我不会……和你说话了……
A new gift for me, <PlayerName>?|给我的新礼物，<PlayerName>？
<CapPlayerName>, this one again?|<CapPlayerName>，又是这一颗？
Yes, take it and leave me alone.|对，拿上它走吧，别来烦我。
I think the rain is approaching.|好像快要下雨了。
...leaving now? Don't... return.|……要走了？别……回来。
Complete the Survivor passage|完成求生者通行证
Complete the Wanderer passage|完成漫游者通行证
Five Pebbles (Memory Conflux)|五块卵石（内存汇流）
Hold to eat / swallow objects|按住以进食/吞食物体
Configure controls for player|配置玩家控制方式
Standard items spawn on level|关卡中生成标准物品
ps4_save_progress_description|雨世界进度{0}保存数据
OpColorPicker_NonMouseSliders|使用摇杆上下以选择，左右以调整。按确认键以应用。
OpScrollBox_MouseTutoSlidebar|使用滚轮或滚动条查看更多
ConfigMenuTab_BackButton_Desc|返回主菜单
ConfigMenuTab_SaveButton_Desc|保存当前模组配置并返回
MenuModList_ModButton_Display|显示<Mod>
MenuModList_ListButton_SwapUp|点击以使此模组的加载晚于其上方的模组
MenuModList_ListButton_SwapDw|点击以使此模组的加载早于其下方的模组
MenuModList_ListButton_Expand|展开以显示模组列表中的缩略图
No stealing Hunter back-spear|猎手背矛防盗
Scavenger kill squad leniency|拾荒者猎杀保护期
Hide rain timer in safe areas|安全区内隐藏雨时计
No randomized cycle durations|禁用随机雨循环时间
Rivulet Rain Timer Multiplier|溪流雨时计倍率
Unlock the Outer Expanse gate|解锁外部旷野业力门
Steam manager not initialized|Steam管理器未初始化
This one again, <PlayerName>?|又是这一颗，<PlayerName>？
Complete the Hunter passage|完成猎手通行证
Complete the Outlaw passage|完成暴徒通行证
Complete the Friend passage|完成朋友通行证
Complete the Martyr passage|完成殉道者通行证
Complete the Mother passage|完成慈母通行证
objecttype-FirecrackerPlant|鞭炮草
creaturetype-SmallCentipede|小蜈蚣
Four is enough to hibernate|四个就足够雨眠了
Player <X> will use gamepad|玩家<X>将使用游戏手柄
Player vs player deathmatch|PvP死斗模式
Play each level three times|每个关卡游玩三次
switch_fast_travel_map_help|按R键选择你想继续游戏的庇护所
OpComboBox_NonMouseOpenTuto|按确认键打开列表
OpKeyBinder_MouseSelectTuto|点击变更按键绑定
OpSlider_NonMouseAdjustTuto|使用摇杆调整，按确认键以应用
OpColorPicker_MouseTypeTuto|使用键盘输入十六进制代码以获得所需的颜色
OpSimpleButton_NonMouseTuto|按确认键以触发
MenuModStat_ConsoleExplain0|此菜单用于激活并配置拓展内容，以便以新的方式游玩雨世界。
MenuModList_ListButton_Stat|显示有关已安装模组的统计信息
MenuModList_ListSlider_Desc|在圆圈上按住鼠标按键并向上或向下拖拽以滚动模组列表
MenuModList_SearchBox_Empty|输入以搜索……
MenuModList_SearchBox_Query|搜索查询：<Query>
Connector_ResetConfig_Alert|已将<ModName>的配置恢复为默认
Arena creatures cannot flee|禁止竞技场生物逃跑
Monk extra light assistance|僧侣额外照明辅助
Zero-gravity spear throwing|无重力投矛
Unlock all arena characters|解锁全部竞技场角色
Oh, it's you, <PlayerName>.|哦，是你，<PlayerName>。
Please... don't do... that.|求你……别那样……做。
What is that, <PlayerName>?|那是什么，<PlayerName>？
Want it back, <PlayerName>?|要我还给你吗，<PlayerName>？
Why should I tolerate this?|我为什么要忍受这个？
As I tried to say to you...|正如我和你说的那样……
Complete the Monk passage|完成僧侣通行证
Find a way to communicate|设法交流
creaturetype-YellowLizard|金蜥蜴
creaturetype-LanternMouse|光鼠
creaturetype-RedCentipede|烈焰蜈蚣
One need not travel alone|此途不再孤单
You are hungry, find food|你饿了，寻找食物
Switch to fullscreen mode|切换至全屏模式
OpDragger_NonMouseUseTuto|使用摇杆调整，按确认键以设定
OpKeyBinder_MouseBindTuto|按下按键后绑定（ESC取消绑定）
OpSlider_NonMouseGrabTuto|按确认键交互
OpHoldButton_NonMouseTuto|长按确认键以触发
MenuModStat_ModsInterface|具有拓展用户界面的已启用模组：<Number1>（可配置：<Number2>）
Show underwater shortcuts|显示水下通道
Centipede pipe protection|蜈蚣管道保护
Threat music visual pulse|可视化威胁音乐
Disable precycle flooding|禁用前雨循环洪水
Unlock all safari regions|解锁全部观览区域
...thank you... better...|……谢谢你……好点了……
Tried to say... to you...|我和你……说过的……
Complete the Saint passage|完成圣徒通行证
Complete the Nomad passage|完成流浪者通行证
objecttype-SLOracleSwarmer|神经元
objecttype-SSOracleSwarmer|神经元
objecttype-OverseerCarcass|监视者之眼
creaturetype-DaddyLongLegs|长肢腐瘤
creaturetype-TentaclePlant|巨藻
creaturetype-SpitterSpider|喷毒狼蛛
creaturetype-BigNeedleWorm|面条蝇
Briefly tap DOWN to crouch|短暂轻触“下方向键”以蹲伏前进
Double tap to switch hands|连续轻触以换手
Player <X> is in the game!|玩家<X>加入了游戏！
Remove level from playlist|从游玩列表中移除关卡
Resume unfinished playlist|继续未完成的游玩列表
Play each level four times|每个关卡游玩四次
Play each level five times|每个关卡游玩五次
mod_menu_fail_requirements|由于附加安装要求问题，此模组无法使用！请检查是否安装了以下附加模组，并且这些模组本身没有问题：
OpComboBox_MouseSearchTuto|在搜索框中输入关键词
OpComboBox_NonMouseUseTuto|使用摇杆滚动，按确认键以选择
OpDragger_NonMouseGrabTuto|按确认键交互
OpRadioButton_NonMouseTuto|按确认键选择这个选项
OpColorPicker_MouseRGBTuto|使用红色/绿色/蓝色滑块选择颜色
OpColorPicker_MouseHSLTuto|从方形颜色选择器和亮度滑块中选择一种颜色
OpColorPicker_MousePLTTuto|从调色板中选择一种颜色
MenuModList_SearchBox_Desc|点击并输入以搜索模组
Connector_SaveConfig_Alert|已保存<ModName>的当前配置
OIError_Message_Initialize|初始化选项界面时出现问题。
Vulture grub arena variety|竞技场唤鹫虫变种
Lossless scavenger corpses|拾荒者尸体业力无损
Continue to the next cycle|继续下一个雨循环
Or did I say that already?|啊，我是不是说过这件事了？
Hello again, <PlayerName>!|又见面了，<PlayerName>！
Hello again, <PlayerName>.|又见面了，<PlayerName>。
